,t1,t2,J
363,2.0,63.0,0.25
364,2.0,64.0,0.25
365,2.0,65.0,0.2
366,2.0,66.0,0.2
367,2.0,67.0,0.2
368,2.0,68.0,0.2
369,2.0,69.0,0.2
370,2.0,70.0,0.19047619047619047
371,2.0,71.0,0.19047619047619047
372,2.0,72.0,0.14285714285714285
373,2.0,73.0,0.15
374,2.0,74.0,0.13043478260869565
375,2.0,75.0,0.13043478260869565
376,2.0,76.0,0.2
377,2.0,77.0,0.16666666666666666
378,2.0,78.0,0.09090909090909091
379,2.0,79.0,0.12
380,2.0,80.0,0.12
381,2.0,81.0,0.125
382,2.0,82.0,0.13043478260869565
383,2.0,83.0,0.13043478260869565
384,2.0,84.0,0.13043478260869565
385,2.0,85.0,0.13043478260869565
386,2.0,86.0,0.13636363636363635
387,2.0,87.0,0.13636363636363635
388,2.0,88.0,0.13636363636363635
389,2.0,89.0,0.13636363636363635
390,2.0,90.0,0.13636363636363635
391,2.0,91.0,0.13636363636363635
392,2.0,92.0,0.13636363636363635
393,2.0,93.0,0.13636363636363635
394,2.0,94.0,0.13636363636363635
395,2.0,95.0,0.13636363636363635
396,2.0,96.0,0.13043478260869565
397,2.0,97.0,0.13043478260869565
398,2.0,98.0,0.125
399,2.0,99.0,0.125
400,2.0,100.0,0.12
401,2.0,101.0,0.11538461538461539
402,2.0,102.0,0.12
403,2.0,103.0,0.11538461538461539
404,2.0,104.0,0.11538461538461539
405,2.0,105.0,0.11538461538461539
406,2.0,106.0,0.11538461538461539
407,2.0,107.0,0.1111111111111111
408,2.0,108.0,0.1111111111111111
409,2.0,109.0,0.1111111111111111
410,2.0,110.0,0.1111111111111111
411,2.0,111.0,0.1111111111111111
412,2.0,112.0,0.1111111111111111
413,2.0,113.0,0.13043478260869565
414,2.0,114.0,0.125
415,2.0,115.0,0.11538461538461539
416,2.0,116.0,0.13043478260869565
417,2.0,117.0,0.14285714285714285
418,2.0,118.0,0.14285714285714285
419,2.0,119.0,0.14285714285714285
420,2.0,120.0,0.15
421,2.0,121.0,0.15
422,2.0,122.0,0.15
423,2.0,123.0,0.13636363636363635
424,2.0,124.0,0.09090909090909091
425,2.0,125.0,0.09090909090909091
426,2.0,126.0,0.09090909090909091
427,2.0,127.0,0.08695652173913043
428,2.0,128.0,0.058823529411764705
429,2.0,129.0,0.058823529411764705
430,2.0,130.0,0.058823529411764705
431,2.0,131.0,0.058823529411764705
432,2.0,132.0,0.058823529411764705
433,2.0,133.0,0.05
434,2.0,134.0,0.05
435,2.0,135.0,0.05
436,2.0,136.0,0.05
437,2.0,137.0,0.05
438,2.0,138.0,0.05
439,2.0,139.0,0.05
440,2.0,140.0,0.0
441,2.0,141.0,0.05
442,2.0,142.0,0.05
443,2.0,143.0,0.05263157894736842
444,2.0,144.0,0.05263157894736842
445,2.0,145.0,0.05555555555555555
446,2.0,146.0,0.05263157894736842
447,2.0,147.0,0.05555555555555555
448,2.0,148.0,0.0
449,2.0,149.0,0.0
450,3.0,0.0,0.5238095238095238
451,3.0,1.0,0.75
452,3.0,2.0,0.8571428571428571
453,3.0,3.0,1.0
454,3.0,4.0,0.75
455,3.0,5.0,0.7058823529411765
456,3.0,6.0,0.7058823529411765
457,3.0,7.0,0.6470588235294118
458,3.0,8.0,0.7333333333333333
459,3.0,9.0,0.7333333333333333
460,3.0,10.0,0.7692307692307693
461,3.0,11.0,0.7692307692307693
462,3.0,12.0,0.7692307692307693
463,3.0,13.0,0.7692307692307693
464,3.0,14.0,0.6428571428571429
465,3.0,15.0,0.5714285714285714
466,3.0,16.0,0.47058823529411764
467,3.0,17.0,0.47058823529411764
468,3.0,18.0,0.47058823529411764
469,3.0,19.0,0.47058823529411764
470,3.0,20.0,0.47058823529411764
471,3.0,21.0,0.4
472,3.0,22.0,0.4117647058823529
473,3.0,23.0,0.4375
474,3.0,24.0,0.3333333333333333
475,3.0,25.0,0.4
476,3.0,26.0,0.4
477,3.0,27.0,0.4
478,3.0,28.0,0.35294117647058826
479,3.0,29.0,0.3333333333333333
480,3.0,30.0,0.3333333333333333
481,3.0,31.0,0.3333333333333333
482,3.0,32.0,0.3157894736842105
483,3.0,33.0,0.2631578947368421
484,3.0,34.0,0.3684210526315789
485,3.0,35.0,0.3333333333333333
486,3.0,36.0,0.3333333333333333
487,3.0,37.0,0.35294117647058826
488,3.0,38.0,0.35294117647058826
489,3.0,39.0,0.35294117647058826
490,3.0,40.0,0.375
491,3.0,41.0,0.375
492,3.0,42.0,0.3125
493,3.0,43.0,0.3125
494,3.0,44.0,0.3333333333333333
495,3.0,45.0,0.3333333333333333
496,3.0,46.0,0.3333333333333333
497,3.0,47.0,0.3333333333333333
498,3.0,48.0,0.3125
499,3.0,49.0,0.3125
500,3.0,50.0,0.2777777777777778
501,3.0,51.0,0.25
502,3.0,52.0,0.3
503,3.0,53.0,0.3157894736842105
504,3.0,54.0,0.23529411764705882
505,3.0,55.0,0.17647058823529413
506,3.0,56.0,0.17647058823529413
507,3.0,57.0,0.17647058823529413
508,3.0,58.0,0.29411764705882354
509,3.0,59.0,0.2631578947368421
510,3.0,60.0,0.2631578947368421
511,3.0,61.0,0.2631578947368421
512,3.0,62.0,0.2777777777777778
513,3.0,63.0,0.2777777777777778
514,3.0,64.0,0.2777777777777778
515,3.0,65.0,0.2222222222222222
516,3.0,66.0,0.2222222222222222
517,3.0,67.0,0.2222222222222222
518,3.0,68.0,0.2222222222222222
519,3.0,69.0,0.2222222222222222
520,3.0,70.0,0.21052631578947367
521,3.0,71.0,0.21052631578947367
522,3.0,72.0,0.15789473684210525
523,3.0,73.0,0.16666666666666666
524,3.0,74.0,0.14285714285714285
525,3.0,75.0,0.14285714285714285
526,3.0,76.0,0.21739130434782608
527,3.0,77.0,0.18181818181818182
528,3.0,78.0,0.1
529,3.0,79.0,0.13043478260869565
530,3.0,80.0,0.13043478260869565
531,3.0,81.0,0.13636363636363635
532,3.0,82.0,0.14285714285714285
533,3.0,83.0,0.14285714285714285
534,3.0,84.0,0.14285714285714285
535,3.0,85.0,0.14285714285714285
536,3.0,86.0,0.15
537,3.0,87.0,0.15
538,3.0,88.0,0.15
539,3.0,89.0,0.15
540,3.0,90.0,0.15
541,3.0,91.0,0.15
542,3.0,92.0,0.15
543,3.0,93.0,0.15
544,3.0,94.0,0.15
545,3.0,95.0,0.15
546,3.0,96.0,0.14285714285714285
547,3.0,97.0,0.14285714285714285
548,3.0,98.0,0.13636363636363635
549,3.0,99.0,0.13636363636363635
550,3.0,100.0,0.13043478260869565
551,3.0,101.0,0.125
552,3.0,102.0,0.13043478260869565
553,3.0,103.0,0.125
554,3.0,104.0,0.125
555,3.0,105.0,0.125
556,3.0,106.0,0.125
557,3.0,107.0,0.12
558,3.0,108.0,0.12
559,3.0,109.0,0.12
560,3.0,110.0,0.12
561,3.0,111.0,0.12
562,3.0,112.0,0.12
563,3.0,113.0,0.14285714285714285
564,3.0,114.0,0.13636363636363635
565,3.0,115.0,0.125
566,3.0,116.0,0.14285714285714285
567,3.0,117.0,0.15789473684210525
