QId,PostUserId,RespondUserId,Time,days
326,14.0,38.0,2014-11-26 04:43:22.870,7
326,14.0,14.0,2014-11-26 18:07:30.990,7
327,59.0,47.0,2014-11-26 03:24:00.280,7
327,59.0,61.0,2014-11-26 03:41:15.167,7
332,29.0,241.0,2014-11-26 18:35:51.653,7
332,29.0,25.0,2014-11-26 20:51:02.980,7
333,103.0,38.0,2014-11-26 14:50:22.680,7
336,20.0,68.0,2014-11-26 20:22:22.297,7
336,20.0,13.0,2014-12-01 20:07:47.633,12
339,20.0,61.0,2014-11-27 01:01:52.690,8
339,20.0,25.0,2014-11-27 07:41:36.623,8
342,41.0,108.0,2014-11-27 11:37:25.427,8
344,243.0,108.0,2014-11-27 15:28:30.380,8
344,243.0,61.0,2014-11-28 10:14:29.483,9
344,243.0,,2014-11-28 10:26:00.287,9
344,243.0,43.0,2014-11-28 22:22:39.743,10
344,243.0,13.0,2014-12-01 19:43:45.337,12
348,27.0,29.0,2014-11-27 20:47:22.343,8
348,27.0,292.0,2014-12-02 22:16:08.040,14
351,201.0,61.0,2014-11-28 00:09:22.037,9
351,201.0,31.0,2014-11-29 05:22:19.020,10
351,201.0,250.0,2014-11-30 16:04:29.327,11
356,251.0,27.0,2014-11-28 18:43:55.890,9
356,251.0,68.0,2014-11-28 19:34:03.037,9
358,27.0,250.0,2014-11-30 16:36:21.493,11
358,27.0,84.0,2014-12-02 00:53:06.893,13
358,27.0,68.0,2014-12-02 07:16:35.323,13
361,227.0,61.0,2014-12-01 22:32:19.527,13
361,227.0,227.0,2014-12-03 11:00:13.007,14
363,41.0,108.0,2014-11-29 12:38:43.350,10
363,41.0,38.0,2014-11-30 21:18:29.050,12
364,119.0,31.0,2014-11-29 17:29:28.957,10
368,,108.0,2014-11-30 08:30:17.020,11
368,,115.0,2014-12-02 12:53:03.950,13
370,108.0,59.0,2014-11-30 13:19:56.213,11
370,108.0,61.0,2014-11-30 17:20:20.197,11
373,14.0,250.0,2014-11-30 18:35:47.733,11
379,246.0,38.0,2014-12-01 15:51:20.703,12
379,246.0,268.0,2014-12-01 20:51:14.480,12
382,162.0,264.0,2014-12-01 19:22:19.900,12
383,41.0,123.0,2014-12-01 12:59:40.983,12
396,271.0,69.0,2014-12-01 21:51:11.717,13
396,271.0,61.0,2014-12-03 05:00:22.267,14
402,284.0,2701.0,2015-01-14 11:26:58.800,56
404,289.0,93.0,2014-12-02 15:34:24.547,13
