AId,AUserId,QId,ATime,AScore,ACommentCount
1419,406,1369,2017-02-07 13:58:13.903,0,4
1421,58,1418,2017-02-07 14:14:05.600,6,1
1422,414,1414,2017-02-07 14:25:02.817,7,0
1426,37,1425,2017-02-07 17:20:50.680,0,7
1428,129,1427,2017-02-07 17:27:21.927,51,5
1432,139,1420,2017-02-07 21:06:15.483,5,0
1434,20,1431,2017-02-07 22:28:28.180,12,0
1435,414,1425,2017-02-07 22:53:06.030,5,2
1437,17,1431,2017-02-08 00:02:26.800,19,0
1447,447,1285,2017-02-08 13:01:49.723,-4,1
1448,449,1423,2017-02-08 13:33:15.593,6,0
1449,17,1440,2017-02-08 14:11:46.797,9,1
1459,58,1453,2017-02-09 09:01:50.447,4,0
1462,168,1454,2017-02-09 09:24:39.090,11,2
1464,289,829,2017-02-09 10:58:45.467,4,0
1475,289,1402,2017-02-09 12:18:53.100,18,1
1478,225,1285,2017-02-09 12:47:37.400,5,0
1479,225,1477,2017-02-09 12:59:43.367,16,0
1481,298,1480,2017-02-09 14:21:19.057,14,3
1483,71,1482,2017-02-09 15:37:56.143,15,4
1490,94,1489,2017-02-09 22:26:03.377,50,6
1510,,1509,2017-02-10 15:19:47.077,14,2
1511,37,1509,2017-02-10 15:26:56.393,8,1
1525,195,1145,2017-02-11 06:05:34.150,10,1
1526,80,1487,2017-02-11 06:17:56.903,13,2
1566,17,1527,2017-02-11 15:16:33.837,10,1
1567,71,1023,2017-02-11 15:21:30.277,5,2
1570,225,1568,2017-02-11 18:22:31.917,2,0
1572,17,1571,2017-02-11 20:32:50.430,12,4
1573,,1569,2017-02-11 22:58:49.487,7,4
1574,481,49,2017-02-12 02:13:33.753,3,1
1579,85,1575,2017-02-12 03:24:30.937,7,3
1580,289,1568,2017-02-12 04:05:53.940,8,0
1581,58,1578,2017-02-12 09:18:06.073,15,0
1584,58,328,2017-02-12 11:47:04.047,2,1
1631,120,1578,2017-02-12 15:46:51.317,9,0
1632,20,752,2017-02-12 18:08:34.467,5,3
1633,71,1130,2017-02-12 22:10:29.263,7,0
1637,203,824,2017-02-13 08:02:19.963,5,0
1639,289,443,2017-02-13 10:18:46.393,6,0
1642,58,1641,2017-02-13 14:46:01.450,101,2
1648,543,1641,2017-02-13 17:23:57.543,19,0
1651,37,1649,2017-02-13 18:46:14.983,10,2
1652,481,65,2017-02-13 19:26:53.767,4,2
1653,17,1641,2017-02-13 20:13:27.383,41,1
1657,57,1486,2017-02-13 23:17:27.173,4,0
1658,541,788,2017-02-13 23:55:27.717,2,0
1660,168,1643,2017-02-14 00:55:07.340,5,0
1661,37,1659,2017-02-14 01:50:01.013,15,5
1665,129,1664,2017-02-14 15:08:38.243,8,1
1672,71,1671,2017-02-14 22:14:01.653,20,5
1673,132,40,2017-02-14 23:12:33.873,5,0
1675,481,1671,2017-02-15 00:59:52.557,2,3
1680,541,1676,2017-02-15 09:53:16.280,24,0
1681,610,50,2017-02-15 10:34:42.557,1,1
1682,11,1676,2017-02-15 11:34:28.020,22,4
1684,168,1683,2017-02-15 14:58:39.987,8,2
1686,481,279,2017-02-15 18:14:12.103,6,0
1699,37,1695,2017-02-16 15:27:59.380,6,0
1700,20,1689,2017-02-16 17:21:39.300,5,9
1702,262,1701,2017-02-16 19:57:08.390,21,3
1705,670,1690,2017-02-17 03:26:09.273,0,2
1707,99,1704,2017-02-17 08:57:43.293,13,3
1711,181,1710,2017-02-18 04:08:13.920,7,0
1712,289,1667,2017-02-18 10:52:24.037,5,0
1714,129,1319,2017-02-18 13:09:59.987,7,2
1715,71,1710,2017-02-18 14:27:26.890,5,0
1718,679,1717,2017-02-18 17:19:59.217,15,7
1719,56,1704,2017-02-18 17:37:12.740,6,0
1721,262,1720,2017-02-18 22:07:02.307,5,0
1722,298,1415,2017-02-18 22:35:28.493,2,0
1727,57,1724,2017-02-19 02:55:59.440,13,3
1728,17,1724,2017-02-19 02:59:18.460,36,4
1732,37,1726,2017-02-19 13:43:41.737,16,6
1733,9,1731,2017-02-19 16:38:32.777,5,3
1738,315,1723,2017-02-19 19:36:31.703,14,0
1739,11,1737,2017-02-19 20:17:42.057,51,6
1741,115,1740,2017-02-19 21:43:53.060,7,1
1742,703,1737,2017-02-19 22:58:12.317,37,3
1744,705,1737,2017-02-20 01:48:30.213,28,9
1747,289,1726,2017-02-20 04:35:56.060,13,0
1750,711,1737,2017-02-20 05:29:21.940,23,1
1751,168,1743,2017-02-20 07:55:21.337,10,0
1756,315,1755,2017-02-20 10:00:11.867,13,1
1759,567,1743,2017-02-20 11:51:56.820,4,0
1761,736,1640,2017-02-20 21:13:55.863,1,0
1762,736,771,2017-02-20 21:27:51.027,1,0
1763,736,1168,2017-02-20 21:38:56.667,1,3
1764,736,1691,2017-02-20 21:43:16.513,1,2
1772,481,1771,2017-02-21 02:32:09.393,6,0
1773,740,1737,2017-02-21 03:13:20.477,9,4
1774,742,1737,2017-02-21 03:39:10.957,7,1
1778,750,1737,2017-02-21 10:45:36.173,5,0
1779,289,1674,2017-02-21 12:38:59.330,18,6
1781,104,73,2017-02-21 17:15:24.913,9,0
1785,143,1784,2017-02-22 10:49:50.180,12,2
1786,168,1784,2017-02-22 12:01:03.177,13,2
1787,85,1758,2017-02-22 12:58:54.420,6,0
1789,85,1788,2017-02-22 13:41:32.237,8,1
1794,298,1793,2017-02-22 19:59:03.827,10,2
1796,85,1795,2017-02-23 00:58:18.167,3,0
1798,225,1782,2017-02-23 09:30:44.443,3,0
1799,225,1782,2017-02-23 09:34:34.950,1,0
1800,225,1790,2017-02-23 14:21:25.007,10,3
1802,168,1801,2017-02-23 16:45:11.690,20,7
1805,104,1797,2017-02-23 22:03:29.287,7,0
1808,31,1804,2017-02-24 05:01:23.667,11,1
1812,151,1811,2017-02-24 08:44:34.600,34,5
1813,289,1811,2017-02-24 09:02:47.187,27,0
1817,37,1810,2017-02-24 11:30:20.073,3,1
1819,29,1818,2017-02-24 13:58:53.140,12,16
1824,391,1816,2017-02-24 19:50:46.827,5,0
1825,391,1679,2017-02-24 21:23:19.960,7,2
1826,391,1436,2017-02-24 22:22:28.450,4,0
1827,391,359,2017-02-24 22:31:44.743,-2,4
1831,71,1757,2017-02-25 00:46:53.153,6,1
1832,391,1829,2017-02-25 00:49:10.643,13,0
1833,128,1807,2017-02-25 02:37:37.417,11,0
1834,,1790,2017-02-25 03:01:29.200,5,5
1842,793,1841,2017-02-25 19:02:28.857,2,10
1846,143,1845,2017-02-26 13:13:42.283,6,0
1847,17,1780,2017-02-26 14:31:33.710,5,3
1850,57,1848,2017-02-26 19:54:14.443,24,8
1853,168,1851,2017-02-27 01:21:17.837,14,0
1854,860,1841,2017-02-27 03:38:16.717,27,6
1858,255,1792,2017-02-27 23:47:26.153,5,0
1861,860,1857,2017-02-28 02:16:29.753,8,0
1862,71,1860,2017-02-28 03:26:10.113,12,0
1863,869,1780,2017-02-28 07:34:10.507,7,2
1865,151,1864,2017-02-28 08:53:50.667,13,0
1866,869,477,2017-02-28 09:49:56.097,1,0
1867,869,336,2017-02-28 10:04:12.643,10,0
1868,869,267,2017-02-28 10:38:52.570,4,3
1869,104,1864,2017-02-28 14:37:15.640,36,2
1871,96,1828,2017-02-28 15:54:19.567,5,0
1873,885,1841,2017-03-01 05:50:43.280,4,10
1874,891,1864,2017-03-01 10:05:18.020,2,0
